Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,EMA_9,EMA_20,EMA_50,SMA_9,SMA_20,SMA_50,RSI,MACD
2018-02-21 18:30:00+00:00,238.5,241.0,233.85,239.9,-0.31,-0.42,13120748.0,245.12738728040767,249.27584255658223,257.52400743989494,245.11666666666667,249.01499999999996,,33.286288230601045,-5.200633342590407
2018-02-22 18:30:00+00:00,241.5,247.45,240.05,246.55,2.77,2.67,6908252.0,245.41190982432616,249.01623850357439,257.0936542069579,245.45555555555555,248.40749999999997,,43.82290318635191,-4.788940152202912
2018-02-25 18:30:00+00:00,246.55,251.45,244.6,246.2,-0.14,-0.25,6522004.0,245.56952785946095,248.74802531275776,256.66645208119485,245.78333333333336,247.76999999999998,,43.43408393996646,-4.439733918683345
2018-02-26 18:30:00+00:00,248.65,249.9,243.35,244.3,-0.77,-0.88,4805004.0,245.31562228756877,248.32440385439986,256.18149317604997,245.89999999999998,247.05499999999998,,41.29225187248467,-4.267110984516336
2018-02-27 18:30:00+00:00,240.75,246.65,238.65,245.4,0.45,0.35,8747792.0,245.33249783005505,248.04588920159986,255.75868952208722,245.22222222222223,246.64750000000004,,43.04339878761569,-3.995487762767084
2018-02-28 18:30:00+00:00,243.4,247.0,239.0,240.8,-1.87,-1.98,5767109.0,244.42599826404404,247.3558045157332,255.17207424671125,244.4611111111111,245.87999999999997,,37.94605812995517,-4.104096489171297
2018-03-04 18:30:00+00:00,236.0,236.0,228.2,229.6,-4.65,-4.76,12425050.0,241.46079861123525,245.66477551423483,254.16924780566376,242.46666666666664,244.54749999999999,,28.955083092855688,-5.035865759269541
2018-03-05 18:30:00+00:00,231.0,235.1,224.15,225.85,-1.63,-1.74,12488311.0,238.3386388889882,243.77765403668866,253.05868906818674,239.91666666666666,243.34750000000003,,26.67600675892068,-6.0076409337422945
2018-03-06 18:30:00+00:00,222.0,225.3,219.1,224.45,-0.62,-0.72,13960066.0,235.5609111111906,241.93692508081352,251.93677969296374,238.11666666666665,242.24,,25.857719613106454,-6.812221017061461
2018-03-07 18:30:00+00:00,226.5,227.5,217.7,222.7,-0.78,-0.88,7733982.0,232.98872888895247,240.1048369778789,250.79023931284752,236.20555555555555,241.15500000000003,,24.832311489071415,-7.504559019467564
