Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,EMA_9,EMA_20,EMA_50,SMA_9,SMA_20,SMA_50,RSI,MACD
2018-01-01 18:30:00+00:00,1267.0,1269.9,1242.85,1249.75,-0.87,-0.91,1512324.0,1249.75,1249.75,1249.75,,,,,0.0
2018-01-02 18:30:00+00:00,1255.9,1283.95,1251.5,1275.3,2.04,2.0,2720736.0,1254.8600000000001,1252.1833333333334,1250.7519607843137,,,,,2.0381766381767648
2018-01-03 18:30:00+00:00,1284.95,1320.0,1280.1,1315.7,3.17,3.13,4546456.0,1267.0280000000002,1258.23253968254,1253.2989427143407,,,,,6.834603615230662
2018-01-04 18:30:00+00:00,1325.0,1328.95,1308.0,1314.9,-0.06,-0.1,2418902.0,1276.6024000000002,1263.6294406651552,1255.7146704510333,,,,,10.45078311445809
2018-01-07 18:30:00+00:00,1316.5,1345.95,1316.5,1338.25,1.78,1.74,3513256.0,1288.9319200000002,1270.7361606018071,1258.9513500411888,,,,,15.027553000012858
2018-01-08 18:30:00+00:00,1340.0,1343.0,1326.4,1332.75,-0.41,-0.45,1703294.0,1297.6955360000002,1276.642240544492,1261.8454147454559,,,,,18.003340767897726
2018-01-09 18:30:00+00:00,1332.2,1336.5,1317.65,1323.75,-0.68,-0.72,1098019.0,1302.9064288000002,1281.128693825969,1264.2730455397518,,,,,19.41168342629271
2018-01-10 18:30:00+00:00,1320.2,1326.8,1313.05,1323.55,-0.02,-0.06,1232290.0,1307.0351430400003,1285.1688182234957,1266.5976319891734,,,,,20.277915612485003
2018-01-11 18:30:00+00:00,1325.5,1332.3,1309.75,1329.15,0.42,0.38,1825056.0,1311.4581144320005,1289.3575022022105,1269.0506660288138,1311.4555555555555,,,,21.17222384255024
2018-01-14 18:30:00+00:00,1334.85,1351.2,1323.6,1325.95,-0.24,-0.28,2386631.0,1314.3564915456004,1292.8425019924762,1271.2820124590564,1319.9222222222222,,,,21.376343124310324
2018-01-15 18:30:00+00:00,1331.05,1339.65,1323.35,1326.2,0.02,-0.02,3139385.0,1316.7251932364804,1296.0194065646215,1273.4356590292896,1325.5777777777778,,,,21.312603608603013
2018-01-16 18:30:00+00:00,1323.0,1357.0,1320.25,1353.35,2.05,2.01,2724814.0,1324.0501545891846,1301.4794630822767,1276.569554753631,1329.7611111111112,,,,23.185598533805432
2018-01-17 18:30:00+00:00,1360.0,1385.0,1350.45,1360.8,0.55,0.51,4966982.0,1331.4001236713477,1307.1290380268217,1279.8727094691749,1334.861111111111,,,,24.983123349462403
2018-01-18 18:30:00+00:00,1362.0,1378.65,1353.5,1371.45,0.78,0.74,2127776.0,1339.4100989370781,1313.2548439290292,1283.4639757645014,1338.5500000000002,,,,26.95630520390023
2018-01-21 18:30:00+00:00,1289.2,1403.65,1289.2,1398.85,2.0,1.96,3067658.0,1351.2980791496625,1321.4067635548358,1287.9889178913836,1345.8944444444446,,,91.05713356507206,30.38080602770333
